code,category,size,pack,colors,density,composition,absorbency,finish,pieces,target_price,role,usp,benchmark_size,benchmark_kind
TWL-NAP-30,Салфетки,30х30,набор 6 шт,"Экрю, Песок, Шалфей",500,100% хлопок,от 500%,без отбеливания,6,490,Трафик и первые отзывы,Плотные салфетки 500 г/м² — не просвечивают и не линяют,30х30,Полотенце
TWL-NAP-12,Салфетки,30х30,набор 12 шт,"Экрю, Песок",500,100% хлопок,от 500%,без отбеливания,12,890,Повышение чека,12 салфеток — запас на кухню и ванную,30х30,Полотенце
TWL-FAC-50S,Полотенце для лица,50х80,набор 2 шт,"Экрю, Песок, Шалфей, Лавандовый",550,100% хлопок,от 500%,без отбеливания,2,590,Основной объём,Два полотенца 550 г/м² по цене обычного набора,50х80,Полотенце
TWL-BTH-70,Полотенце банное,70х140,1 шт,"Экрю, Песок, Шалфей",600,100% хлопок,от 500%,без отбеливания,1,1190,Ядро категории,600 г/м² по цене рынка. Впитывает за 3 секунды,70х140,Полотенце
TWL-BTH-70S,Полотенце банное,70х140,набор 2 шт,"Экрю, Песок, Шалфей",600,100% хлопок,от 500%,без отбеливания,2,1390,Основная маржа,"Комплект для двоих, плотность 600 г/м²",70х140,Полотенце
TWL-SET-GIFT,Комплект в коробке,70х140 + 50х80 + 30х30 x2,набор 4 предмета,"Экрю, Шалфей",550-600,100% хлопок,от 500%,без отбеливания,4,1590,"Подарочный, сезон ноябрь-март",Полный набор для ванной. Цвет натурального хлопка,70х140,Полотенце
ROB-WAF-U,Халат вафельный,"S/M, L/XL, XXL",1 шт,"Экрю, Песок",300,"100% хлопок, вафельное плетение",от 500%,без отбеливания,1,1890,Вход в категорию халатов,"Лёгкий халат, который не весит как одеяло. 300 г/м²",,Халат
ROB-TRY-U,Халат лёгкий махровый,"S/M, L/XL, XXL",1 шт,"Экрю, Песок, Шалфей",350,"100% хлопок, низкий ворс",от 500%,без отбеливания,1,1790,Основная маржа в халатах,"Махровый, но лёгкий: 350 г/м² вместо отельных 500+",,Халат
ROB-MUS-W,Халат муслиновый,"S/M, L/XL",1 шт,"Экрю, Шалфей",220,"100% хлопок, муслин 4 слоя",от 500%,без отбеливания,1,2290,"Сезон весна-лето, тест спроса",Дышит и сохнет за час — для лета и после бассейна,,Халат
MAT-BTH-50,Коврик для ванной,50х70,1 шт,"Экрю, Песок, Шалфей",1200,"100% хлопок, противоскользящая основа",от 500%,без отбеливания,1,750,"Вторая волна, после отзывов","Не скользит на мокрой плитке, быстро сохнет",50х70,Коврик
MAT-BTH-60,Коврик для ванной,60х100,1 шт,"Экрю, Песок",1200,"100% хлопок, противоскользящая основа",от 500%,без отбеливания,1,1590,"Вторая волна, после отзывов","Большой коврик, который держит форму после стирки",60х100,Коврик
